Week,Package A,Package B,Package C,Package D,Package E,Package F,Package G,Package H,Package I
1,2,2,3,3,NULL,NULL,NULL,NULL,NULL
2,4,3,6,3,NULL,NULL,NULL,NULL,NULL
3,3,2,4,1,NULL,NULL,NULL,NULL,NULL
4,3,3,2,2,NULL,NULL,NULL,NULL,NULL
5,4,3,4,3,NULL,NULL,NULL,NULL,NULL
6,4,1,6,2,NULL,NULL,NULL,NULL,NULL
7,5,3,7,3,NULL,NULL,NULL,NULL,NULL
8,4,3,3,2,NULL,NULL,NULL,NULL,NULL
9,4,3,4,3,NULL,NULL,NULL,NULL,NULL
10,6,1,9,2,NULL,NULL,NULL,NULL,NULL
11,3,2,5,3,NULL,NULL,NULL,NULL,NULL
12,4,2,3,1,NULL,NULL,NULL,NULL,NULL
13,4,4,4,3,NULL,NULL,NULL,NULL,NULL
14,5,3,6,3,NULL,NULL,NULL,NULL,NULL
15,6,1,6,2,NULL,NULL,NULL,NULL,NULL
16,4,2,4,2,NULL,NULL,NULL,NULL,NULL
17,3,1,5,1,8,4,NULL,NULL,NULL
18,4,3,7,2,7,4,NULL,NULL,NULL
19,2,2,2,2,4,5,NULL,NULL,NULL
20,1,3,2,4,5,5,NULL,NULL,NULL
21,2,3,7,3,2,5,NULL,NULL,NULL
22,3,3,5,2,4,5,NULL,NULL,NULL
23,3,1,3,2,2,5,8,NULL,NULL
24,1,3,4,2,1,4,7,NULL,NULL
25,2,3,5,7,1,6,7,NULL,NULL
26,2,2,7,5,3,4,7,NULL,NULL
27,1,4,5,5,1,5,9,NULL,NULL
28,4,3,4,5,1,7,7,NULL,NULL
29,1,4,5,5,7,6,7,NULL,NULL
30,4,3,9,6,8,7,6,NULL,NULL
31,2,3,5,6,2,6,7,4,NULL
32,3,3,6,7,4,3,7,5,NULL
33,5,4,5,5,2,4,5,6,1
34,1,5,5,4,2,6,5,4,1
35,3,2,5,6,3,4,3,4,1
36,3,3,2,7,3,4,3,5,1
37,3,4,6,7,3,5,3,3,2
38,3,3,6,5,3,5,2,3,2
39,4,4,6,6,2,5,2,4,1
40,1,4,3,7,3,4,2,4,1
41,3,4,7,7,9,3,4,4,1
42,4,4,5,7,5,5,3,1,1
43,2,4,2,7,4,6,1,4,1
44,4,4,3,6,4,5,3,2,1
45,4,3,7,3,3,4,2,4,1
46,6,1,6,6,2,3,5,4,1
47,4,1,6,6,3,5,2,3,1
48,4,1,6,6,1,6,5,2,3
49,5,1,5,6,2,5,3,4,1
50,3,2,7,5,2,5,3,2,1
51,3,2,5,5,2,2,2,3,1
52,3,2,4,4,3,7,3,3,1
53,5,2,6,4,7,5,2,5,1
54,3,1,7,5,6,6,1,4,1
55,3,1,5,5,4,5,3,4,1
56,2,4,5,3,4,5,2,4,1
57,3,2,3,5,4,4,2,4,1
58,4,3,7,3,3,6,3,3,2
59,4,3,6,4,3,4,2,3,1
60,6,2,3,3,2,5,3,3,1
