Week,Package A,Package B,Package C,Package D,Package E,Package F,Package G,Package H,Package I
1,4,1,3,1,NULL,NULL,NULL,NULL,NULL
2,3,3,4,0,NULL,NULL,NULL,NULL,NULL
3,4,2,3,1,NULL,NULL,NULL,NULL,NULL
4,3,1,1,3,NULL,NULL,NULL,NULL,NULL
5,2,0,3,1,NULL,NULL,NULL,NULL,NULL
6,1,2,4,2,NULL,NULL,NULL,NULL,NULL
7,2,3,3,2,NULL,NULL,NULL,NULL,NULL
8,2,0,3,1,NULL,NULL,NULL,NULL,NULL
9,2,3,3,1,NULL,NULL,NULL,NULL,NULL
10,1,2,3,3,NULL,NULL,NULL,NULL,NULL
11,3,1,1,1,NULL,NULL,NULL,NULL,NULL
12,4,0,4,1,NULL,NULL,NULL,NULL,NULL
13,4,0,3,1,NULL,NULL,NULL,NULL,NULL
14,3,1,4,2,NULL,NULL,NULL,NULL,NULL
15,3,1,2,0,NULL,NULL,NULL,NULL,NULL
16,3,0,3,0,NULL,NULL,NULL,NULL,NULL
17,1,0,3,1,5,2,NULL,NULL,NULL
18,2,0,4,2,4,2,NULL,NULL,NULL
19,0,2,3,2,4,4,NULL,NULL,NULL
20,1,0,1,3,3,2,NULL,NULL,NULL
21,2,0,3,0,3,3,NULL,NULL,NULL
22,0,3,4,2,1,2,NULL,NULL,NULL
23,1,2,3,0,1,3,5,NULL,NULL
24,1,2,1,3,1,3,3,NULL,NULL
25,1,3,2,3,2,4,4,NULL,NULL
26,2,3,3,4,1,2,4,NULL,NULL
27,1,2,2,5,2,3,5,NULL,NULL
28,1,2,1,3,0,2,5,NULL,NULL
29,0,2,3,2,4,3,5,NULL,NULL
30,1,1,3,4,5,4,5,NULL,NULL
31,3,1,3,4,4,4,4,1,NULL
32,2,3,1,4,2,4,4,0,NULL
33,3,1,5,3,0,2,3,2,0
34,0,2,4,4,0,2,2,2,0
35,2,1,3,4,0,2,2,3,0
36,2,4,3,5,1,2,1,2,0
37,4,1,5,4,1,3,1,2,0
38,3,2,5,5,1,5,1,3,1
39,2,1,3,6,0,2,1,2,0
40,2,3,1,3,2,3,1,0,0
41,2,2,5,4,6,3,1,1,1
42,1,2,5,4,2,0,2,3,1
43,0,2,4,2,2,5,2,2,0
44,4,0,2,3,1,4,2,3,0
45,4,0,4,5,1,5,0,0,0
46,5,1,4,4,3,3,2,2,0
47,6,1,3,5,1,2,0,2,0
48,2,1,3,4,0,4,2,1,0
49,2,0,4,3,1,2,1,2,0
50,3,1,5,3,2,2,0,3,1
51,2,1,3,4,1,5,3,0,0
52,1,2,3,2,1,4,1,2,0
53,1,0,3,2,6,3,0,2,0
54,2,0,3,3,3,4,1,1,0
55,2,3,3,4,4,4,1,1,0
56,1,0,1,2,3,3,0,4,1
57,0,0,3,1,2,4,1,0,1
58,3,0,5,2,1,3,1,1,0
59,1,2,3,3,1,2,2,1,0
60,2,1,2,2,4,1,2,1,0
