Week,Package A,Package B,Package C,Package D,Package E,Package F,Package G,Package H,Package I
1,55,81,383,94,NULL,NULL,NULL,NULL,NULL
2,71,122,423,146,NULL,NULL,NULL,NULL,NULL
3,100,184,438,291,NULL,NULL,NULL,NULL,NULL
4,129,248,433,425,NULL,NULL,NULL,NULL,NULL
5,130,309,442,526,NULL,NULL,NULL,NULL,NULL
6,183,407,486,539,NULL,NULL,NULL,NULL,NULL
7,228,411,636,655,NULL,NULL,NULL,NULL,NULL
8,233,515,464,829,NULL,NULL,NULL,NULL,NULL
9,207,603,591,797,NULL,NULL,NULL,NULL,NULL
10,242,608,708,1027,NULL,NULL,NULL,NULL,NULL
11,325,756,644,1331,NULL,NULL,NULL,NULL,NULL
12,277,869,576,1036,NULL,NULL,NULL,NULL,NULL
13,376,809,681,1260,NULL,NULL,NULL,NULL,NULL
14,390,1076,627,1331,NULL,NULL,NULL,NULL,NULL
15,473,985,808,1421,NULL,NULL,NULL,NULL,NULL
16,470,1065,686,1524,NULL,NULL,NULL,NULL,NULL
17,419,1215,759,1489,74,135,NULL,NULL,NULL
18,350,1052,692,2099,123,147,NULL,NULL,NULL
19,423,1235,976,2044,148,150,NULL,NULL,NULL
20,441,1231,1005,2282,152,142,NULL,NULL,NULL
21,485,1378,1017,2639,168,149,NULL,NULL,NULL
22,497,1263,917,2616,179,153,NULL,NULL,NULL
23,472,1488,1061,2276,202,175,198,NULL,NULL
24,442,1541,929,2920,183,143,235,NULL,NULL
25,449,1269,904,3077,188,150,230,NULL,NULL
26,454,1313,1126,2640,196,138,230,NULL,NULL
27,358,1598,1084,3367,207,161,195,NULL,NULL
28,437,1365,1096,2961,237,139,219,NULL,NULL
29,412,1400,1166,2741,277,156,193,NULL,NULL
30,477,1402,1226,3565,470,148,213,NULL,NULL
31,518,1436,1182,3356,452,156,168,72,NULL
32,697,1545,1326,3677,339,163,173,144,NULL
33,620,1437,1179,3577,365,215,206,197,108
34,745,1538,1154,3635,376,198,236,272,107
35,908,1682,1134,3327,392,257,276,349,97
36,922,1601,1236,2852,371,248,257,442,94
37,945,1740,1430,2945,417,246,187,478,111
38,1033,1119,1478,3710,381,300,229,476,116
39,1010,1768,1294,4025,250,295,316,581,110
40,1047,1397,1293,2964,427,361,264,526,139
41,992,1823,1410,3222,447,324,317,595,112
42,1500,1287,1243,3586,570,326,306,836,166
43,1017,1507,1293,3007,509,373,377,923,183
44,1205,1713,1427,3282,720,339,293,914,185
45,1198,1970,1512,3717,682,485,331,712,200
46,1262,1825,1585,3359,615,454,283,1124,157
47,1370,1704,1500,3114,578,436,324,1108,168
48,1571,2101,1547,3215,601,366,343,925,285
49,1532,2061,1695,3349,662,425,268,1328,346
50,1337,2198,1816,2672,577,371,291,1083,453
51,1659,1707,1568,3633,733,373,371,1148,615
52,2123,2135,1584,3305,620,398,329,1286,636
53,1639,2070,1658,3210,684,502,325,1400,750
54,2176,1984,1749,3447,838,415,324,1375,802
55,1773,2125,1865,3688,898,390,295,1493,917
56,2027,2395,1700,3646,773,402,293,1200,1083
57,1924,1954,1797,3788,949,427,355,1330,1021
58,2375,2035,1985,3797,948,362,338,1276,1135
59,1927,2109,1740,3973,983,467,284,1154,1464
60,2321,2053,1892,3222,1120,444,302,1181,1431
